Compound,Group,Molecular ion,Exact mass,Possible precursor,Quantification
alkOS139,alkOS,C2H3SO5−,138.9707,Glycolaldehyde,GAS
alkOS251,alkOS,C10H19SO5-,251.0961,Alkane,OctS
alkOS269,alkOS,C9H17SO7-,269.0700,Alkane,OctS
alkOS311,alkOS,C10H1 SO9-,311.0442,Alkane,OctS
iOS167,iOS,C4H7SO5−,167.0020,"ΜΑCR, MVK",HAS
iOS179,iOS,C5H7SO5-,179.0020,Isoprene ,LAS
iOS181,iOS,C4H5SO6−,180.9812,MACR,HAS
iOS183,iOS,C4H7SO6-,182.9969,Isoprene,LAS
iOS195,iOS,C5H7SO6-,194.9969,Isoprene,LAS
iOS197,iOS,C5H9SO6− ,197.0125,"Isoprene, MACR, MVK",LAS
iOS199a,iOS,C4H7SO7−,198.9918,"Isoprene, MBO",LAS
iOS199b,iOS,C4H7SO7−,199.0282,MBO,LAS
iOS211,iOS,C5H7SO7−,210.9919,"Isoprene, 3-Ζ-hexanal",LAS
iOS213,iOS,C5H9SO7−,213.0074,"Isoprene, fatty acid",LAS
iOS215,iOS,C5H11SO7−,215.0231,"Isoprene,  3-Ζ-hexanal",LAS
iOS225,iOS,C5H5SO8−,224.9711,Isoprene,LAS
iOS229,iOS,C5H9SO8-,229.0024,Isoprene,LAS
iOS2422,iOS,C5H5SO9-,240.9660,Isoprene,LAS
iNOS242,iNOS,C5H7SO9-,241.9976,Isoprene,LAS
mtOS297a,mtOS,C9H13O9S-,297.0284,Monoterpenes,LAS
mtOS281a,mtOS,C9H14O8S-,281.0338,α-Pinene,LAS
mtOS231,mtOS,C10H15SO4-,231.0696,Monoterpenes,10-CSA
mtOS234,mtOS,C9H13SO5-,233.0489,Monoterpenes,10-CSA
mtOS235a,mtOS,C9H16SO5-,235.0646,Monoterpenes,10-CSA
mtOS247,mtOS,C10H15SO5-,247.0646,Monoterpenes,10-CSA
mtOS249a,mtOS,C9H13SO6-,249.0438,Monoterpenes,10-CSA
mtOS249b,mtOS,C10H17SO5-,249.0806,Monoterpenes,10-CSA
mtOS251,mtOS,C9H15SO6-,251.0595,"Limonene, β-caryophyllene, ",10-CSA
mtOS263,mtOS,C10H15SO6-,263.0595,Monoterpenes,10-CSA
mtOS265a,mtOS,C9H13SO7-,265.0393,Monoterpenes,10-CSA
mtOS265b,mtOS,C10H17SO6-,265.0752,"Monoterpenes, Alkane",10-CSA
mtOS267,mtOS,C9H15SO7-,267.0547,"Limonene, α-pinene, Alkane, Isoprene",10-CSA
mtOS279,mtOS,C10H15SO7-,279.0542,"Monoterpenes,  Alkane",10-CSA
mtOS281b,mtOS,C10H17O7S-,281.0700,Monoterpenes,10-CSA
mtOS283a,mtOS,C9H15O8S-,283.0493,Monoterpenes,10-CSA
mtOS283b,mtOS,C10H19O7S-,283.0855,Monoterpenes,10-CSA
mtOS295,mtOS,C10H15O8S-,295.0490,Monoterpenes,10-CSA
mtOS297b,mtOS,C10H17O8S-,297.0648,"Monoterpenes, Alkane",10-CSA
stOS293,stOS,C14H29O4S-,293.1793,,10-CSA
stOS303,stOS,C14H23O5S-,303.1272,β-caryophyllene,10-CSA
stOS309,stOS,C14H29O5S-,309.1736,diesel,10-CSA
stOS315,stOS,C15H23O5S-,315.1271,,10-CSA
stOS317,stOS,C15H25O5S-,317.1428,β-caryophyllene,10-CSA
stOS319,stOS,C14H23O6S-,319.1741,β-caryophyllene,10-CSA
stOS321,stOS,C14H25O6S-,321.1384,β-caryophyllene,10-CSA
stOS323,stOS,C14H17O6S-,323.1531,,10-CSA
stOS333,stOS,C14H21O7S-,333.1013,β-caryophyllene,10-CSA
stOS347,stOS,C15H23O7S-,347.1170,β-caryophyllene,10-CSA
stOS349,stOS,C15H25O7S-,349.1326,β-caryophyllene,10-CSA
tmbOS225,tmbOS,C6H9O7S -,225.0062,TMB,OctS
tmbOS265,tmbOS,C9H13O7S -,265.0391,TMB,OctS
tmbOS281,tmbOS,C9H13O8S -,281.0325,TMB,OctS
tmbON211,tmbON,C8H7O5N2-,211.0364,TMB,OctS
tmbON262,tmbON,C9H12O8N-,262.0558,TMB,10-CSA
tmbON278,tmbON,C9H12O9N-,278.0517,TMB,OctS
tmbON325,tmbON,C9H13O11N2-,325.0524,TMB,OctS
tmbNOS270,tmbNOS,C6H8O9NS-,269.9921,TMB,OctS
tmbNOS310,tmbNOS,C9H12O9NS-,310.0238,TMB,OctS
tmbNOS389,tmbNOS,C9H13O13N2S-,389.0140,TMB,OctS
iOS243,iNOS,C5H8SNO8-,242.9816,,LAS
iNOS260,iNOS,C5H10SNO9-,260.0082,Isoprene,LAS
iNOS274,iNOS,C5H8SNO10-,273.9874,Isoprene,LAS
mtNOS294,mtNOS,C10H16SNO7-,294.0653,Monoterpenes,10-CSA
mtNOS296,mtNOS,C9H14SNO8-,296.0446,Monoterpenes,10-CSA
mtNOS310,mtNOS,C10H16SNO8-,310.0602,Monoterpenes,10-CSA
mtNOS312a,mtNOS,C9H14SNO9-,312.0395,Monoterpenes,10-CSA
mtNOS312b,mtNOS,C10H18SNO8-,312.0759,Monoterpenes,10-CSA
mtNOS324,mtNOS,C10H14SNO9-,324.0394,Monoterpenes,10-CSA
mtNOS326,mtNOS,C10H16SNO9-,326.0551,Monoterpenes,10-CSA
mtNOS328b,mtNOS,C10H18SNO9-,328.0708,Monoterpenes,10-CSA
mtNOS342,mtNOS,C10H16SNO10-,342.0500,Monoterpenes,10-CSA
stNOS362,stNOS,C15H24SNO7-,362.1279,β-caryophyllene,10-CSA
stNOS382,stNOS,C14H24SNO9-,382.1177,β-caryophyllene,10-CSA
napOS257,napOS,C10H9SO6−,257.0139,naphthalene,PhS
napOS273,napOS,C10H9SO8−,273.0063,naphthalene ,PhS
napOS275,napOS,C10H11SO8−,275.0228,naphthalene ,PhS
napOS320,napOS,C10H10NSO9−,320.0021,naphthalene ,PhS
mnapOS217,mnapOS,C6H4NSO6−,217.9751,2-methylnaphthalene ,PhS
mnapOS231,mnapOS,C9H11SO5−,231.0333,2-methylnaphthalene ,PhS
mnapOS287,mnapOS,C11H11SO7−,287.0243,2-methylnaphthalene ,PhS
mnapOS289,mnapOS,C11H13SO7−,289.0387,2-methylnaphthalene ,PhS
MeS,STD,CH3O4S-,110.9758,,MeS
EtS,STD,C2H5O4S-,124.9914,,EtS
PrS,STD,C3H7O4S-,139.0071,,PrS
OctS,STD,C8H17O4S-,209.0853,,OctS
BS,STD,C7H7O4S-,187.0071,,BS
PhS,STD,C6H5O4S-,172.9914,,PhS
m-MBS,STD,C8H9O4S-,201.0227,,M-MBS
p-MBS,STD,C8H9O4S-,201.0227,,P-MBS
P-MPhS,STD,C7H7O4S-,187.0071.1,,P-MPhS
HAS,STD,C3H5O5S-,152.9863,,HAS
GAS,STD,C2H3O6S-,154.9656,,GAS
LAS,STD,C3H5O6S-,168.9812,,LAS
10-CSA,STD,C10H15O4S-,231.0697,,10-CSA
