ion,curve_std,lin_lower,lin_upper,curve_slope,curve_intercept,r_sq,precision_25,precision_100,accuracy_25,accuracy_100,lod,loq,equation
110.9758,MeS,34,500,0.0052,-0.0117,0.9961,7.83,2.61,86.1,81.1,11,34,y=0.0052(±0.00023) x-0.0117(±0.0589)
124.9914,EtS,1.7,500,0.0081,-0.0242,0.9988,1.2,2,98.1,85.8,0.57,1.7,y=0.0081(±0.00012) x-0.0242(±0.0234)
138.9707,HAS,1,500,0.0029,-0.0087,0.9996,8.81,1.79,92.3,85.8,0.12,0.37,y=0.0029(±0.00002) x-0.0087(±0.0048)
139.0071,PrS,2.4,500,0.0174,-0.0569,0.9986,2.76,2.27,82,78.5,0.8,2.4,y=0.0174(±0.00027) x-0.0569(±0.0536)
152.9863,HAS,1,500,0.0029,-0.0087,0.9996,8.81,1.79,92.3,85.8,0.12,0.37,y=0.0029(±0.00002) x-0.0087(±0.0048)
154.9656,GAS,11,5000,0.0003,-0.024,0.9969,6.42,4.87,91.3,83.2,3.5,11,y=0.0003(±0.000006) x-0.0240(±0.0125)
167.0020,HAS,1,500,0.0029,-0.0087,0.9996,8.81,1.79,92.3,85.8,0.12,0.37,y=0.0029(±0.00002) x-0.0087(±0.0048)
168.9812,LAS,100,5000,0.0004,-0.0409,0.9988,9.3,8.98,108,103,27,81,y=0.0004(±0.000007) x-0.0409(±0.0158)
172.9914,PhS,2.3,250,0.0215,-0.0132,0.9997,1.42,0.76,83.4,77.5,0.77,2.3,y=0.0215(±0.00018) x-0.0132(±0.0191)
179.0020,LAS,100,5000,0.0004,-0.0409,0.9988,9.3,8.98,108,103,27,81,y=0.0004(±0.000007) x-0.0409(±0.0158)
180.9812,HAS,1,500,0.0029,-0.0087,0.9996,8.81,1.79,92.3,85.8,0.12,0.37,y=0.0029(±0.00002) x-0.0087(±0.0048)
182.9969,LAS,100,5000,0.0004,-0.0409,0.9988,9.3,8.98,108,103,27,81,y=0.0004(±0.000007) x-0.0409(±0.0158)
187.0071,PhS,2.3,250,0.0215,-0.0132,0.9997,1.42,0.76,83.4,77.5,0.77,2.3,y=0.0215(±0.00018) x-0.0132(±0.0191)
187.0071.1,BS,1.8,250,0.0346,-0.0386,0.9996,1.83,1.09,91.9,104,0.59,1.8,y=0.0346(±0.00032) x-0.0386(±0.0332)
194.9969,LAS,100,5000,0.0004,-0.0409,0.9988,9.3,8.98,108,103,27,81,y=0.0004(±0.000007) x-0.0409(±0.0158)
197.0125,LAS,100,5000,0.0004,-0.0409,0.9988,9.3,8.98,108,103,27,81,y=0.0004(±0.000007) x-0.0409(±0.0158)
198.9918,LAS,100,5000,0.0004,-0.0409,0.9988,9.3,8.98,108,103,27,81,y=0.0004(±0.000007) x-0.0409(±0.0158)
199.0282,LAS,100,5000,0.0004,-0.0409,0.9988,9.3,8.98,108,103,27,81,y=0.0004(±0.000007) x-0.0409(±0.0158)
201.0227,mpMBS,2.4,250,0.0695,-0.009,0.9995,1.39,0.37,85,94.5,0.78,2.4,y=0.0695(±0.00064) x-0.0090(±0.0067)
209.0853,OcS,1.5,250,0.0394,-0.0484,0.9996,1.6,0.44,89.2,83.2,0.51,1.5,y=0.0394(±0.00035) x-0.0484(±0.0037)
210.9919,LAS,100,5000,0.0004,-0.0409,0.9988,9.3,8.98,108,103,27,81,y=0.0004(±0.000007) x-0.0409(±0.0158)
211.0364,OcS,1.5,250,0.0394,-0.0484,0.9996,1.6,0.44,89.2,83.2,0.51,1.5,y=0.0394(±0.00035) x-0.0484(±0.0037)
213.0074,LAS,100,5000,0.0004,-0.0409,0.9988,9.3,8.98,108,103,27,81,y=0.0004(±0.000007) x-0.0409(±0.0158)
215.0231,LAS,100,5000,0.0004,-0.0409,0.9988,9.3,8.98,108,103,27,81,y=0.0004(±0.000007) x-0.0409(±0.0158)
217.9751,PhS,2.3,250,0.0215,-0.0132,0.9997,1.42,0.76,83.4,77.5,0.77,2.3,y=0.0215(±0.00018) x-0.0132(±0.0191)
224.9711,OcS,1.5,250,0.0394,-0.0484,0.9996,1.6,0.44,89.2,83.2,0.51,1.5,y=0.0394(±0.00035) x-0.0484(±0.0037)
225.0062,OcS,1.5,250,0.0394,-0.0484,0.9996,1.6,0.44,89.2,83.2,0.51,1.5,y=0.0394(±0.00035) x-0.0484(±0.0037)
229.0024,LAS,100,5000,0.0004,-0.0409,0.9988,9.3,8.98,108,103,27,81,y=0.0004(±0.000007) x-0.0409(±0.0158)
231.0333,PhS,2.3,250,0.0215,-0.0132,0.9997,1.42,0.76,83.4,77.5,0.77,2.3,y=0.0215(±0.00018) x-0.0132(±0.0191)
231.0697,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
233.0489,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
235.0646,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
240.9660,LAS,100,5000,0.0004,-0.0409,0.9988,9.3,8.98,108,103,27,81,y=0.0004(±0.000007) x-0.0409(±0.0158)
241.9976,OcS,1.5,250,0.0394,-0.0484,0.9996,1.6,0.44,89.2,83.2,0.51,1.5,y=0.0394(±0.00035) x-0.0484(±0.0037)
242.9816,OcS,1.5,250,0.0394,-0.0484,0.9996,1.6,0.44,89.2,83.2,0.51,1.5,y=0.0394(±0.00035) x-0.0484(±0.0037)
247.0646,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
249.0438,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
249.0806,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
251.0595,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
251.0961,OcS,1.5,250,0.0394,-0.0484,0.9996,1.6,0.44,89.2,83.2,0.51,1.5,y=0.0394(±0.00035) x-0.0484(±0.0037)
257.0139,PhS,2.3,250,0.0215,-0.0132,0.9997,1.42,0.76,83.4,77.5,0.77,2.3,y=0.0215(±0.00018) x-0.0132(±0.0191)
260.0082,OcS,1.5,250,0.0394,-0.0484,0.9996,1.6,0.44,89.2,83.2,0.51,1.5,y=0.0394(±0.00035) x-0.0484(±0.0037)
262.0558,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
263.0595,OcS,1.5,250,0.0394,-0.0484,0.9996,1.6,0.44,89.2,83.2,0.51,1.5,y=0.0394(±0.00035) x-0.0484(±0.0037)
265.0391,OcS,1.5,250,0.0394,-0.0484,0.9996,1.6,0.44,89.2,83.2,0.51,1.5,y=0.0394(±0.00035) x-0.0484(±0.0037)
265.0393,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
265.0752,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
267.0547,10CSA,2.2,250,0.004,0.0104,0.9995,3.72,0.39,86.7,89.4,0.72,2.2,y=0.0040(±0.00004) x+0.0104(±0.0042)
269.0700,OcS,1.5,250,0.0394,-0.0484,0.9996,1.6,0.44,89.2,83.2,0.51,1.5,y=0.0394(±0.00035) x-0.0484(±0.0037)
269.9921,OcS,1.5,250,0.0394,-0.0484,0.9996,1.6,0.44,89.2,83.2,0.51,1.5,y=0.0394(±0.00035) x-0.0484(±0.0037)
